vehicle_id,vehicle_type,fuel_type,age_years,annual_operating_cost_usd,annual_co2_emissions_mt,annual_utilization_miles,replacement_capex_ev_usd,annual_cost_post_ev_usd,ev_annual_co2_mt,salvage_value_usd,criticality_score,reliability_index,mission_critical_flag,replacement_priority_index,tco_ice_10yr_usd,tco_ev_10yr_usd
MM_036,Heavy-Duty,Diesel,11.9,71047,17.28,30711,54752,31180,4.16,6343,0.5,0.59,0,67.09,603899,313439
MM_020,Light-Duty,Diesel,12.5,34808,15.88,52821,47467,18571,3.29,4869,0.48,0.53,1,66.31,295868,200451
MM_026,Heavy-Duty,Diesel,14.1,40824,13.88,28071,55077,15398,2.51,6166,0.57,0.4,0,59.36,347004,179794
MM_017,Light-Duty,Diesel,4.9,66178,25.8,26120,69663,28914,4.37,14154,0.65,0.75,0,58.2,562513,301278
MM_002,Heavy-Duty,Gasoline,9.1,51498,21.22,28851,71064,20578,4.75,6455,0.7,0.66,0,57.12,437733,239522
MM_028,Medium-Duty,Diesel,12.6,17301,26.05,20105,48443,8000,7.04,2326,0.65,0.5,0,52.45,147058,114117
MM_046,Medium-Duty,CNG,6.3,60798,16.35,27071,56948,30082,3.53,8672,0.68,0.75,0,49.62,516783,303973
MM_025,Medium-Duty,Diesel,11.8,32922,18.4,19477,74075,15194,3.34,7087,0.79,0.54,0,49.1,279837,196137
MM_033,Light-Duty,Gasoline,8.2,58444,9.87,27490,68924,23757,1.37,6375,0.94,0.66,0,47.9,496774,264483
MM_022,Light-Duty,Diesel,7.6,35575,16.95,31084,62568,15383,2.89,7290,0.96,0.64,0,47.49,302387,186033
MM_031,Medium-Duty,Diesel,9.9,48656,5.0,40517,35000,22959,1.06,7534,0.65,0.71,1,46.94,413576,222617
MM_001,Light-Duty,Gasoline,11.5,37553,12.37,18427,55078,18027,3.63,5242,0.49,0.5,0,45.81,319200,203065
MM_009,Medium-Duty,Diesel,9.8,36081,14.78,22465,54048,15743,4.09,6878,0.51,0.6,0,44.68,306688,180985
MM_014,Light-Duty,Diesel,11.0,23163,12.4,30430,62577,10621,2.68,4181,0.62,0.56,0,44.36,196885,148674
MM_040,Medium-Duty,Diesel,1.2,27944,32.81,27436,65053,13630,6.13,5069,0.49,0.86,0,43.4,237524,175839
MM_015,Light-Duty,Diesel,12.7,33419,12.9,10978,65116,11565,2.86,4977,0.65,0.47,0,42.94,284061,158441
MM_008,Heavy-Duty,Diesel,12.8,40176,5.0,23229,68520,20241,1.17,6643,0.37,0.56,0,42.21,341496,233925
MM_023,Light-Duty,Diesel,3.8,36963,20.0,29632,51675,14675,4.89,7069,0.63,0.77,0,41.98,314185,169343
MM_029,Medium-Duty,Gasoline,9.9,54285,8.49,18117,68357,24099,1.8,9022,0.67,0.66,0,41.86,461422,264176
MM_018,Medium-Duty,Gasoline,7.1,38793,14.39,26110,42061,15487,3.83,4671,0.59,0.71,0,41.06,329740,169029
MM_048,Medium-Duty,Diesel,9.8,30847,9.9,23491,86904,12870,2.02,4131,1.0,0.54,0,40.72,262199,192168
MM_042,Medium-Duty,Gasoline,9.9,37097,5.0,23731,57057,19061,1.11,3900,0.53,0.5,0,40.17,315324,215175
MM_019,Medium-Duty,Gasoline,9.8,40120,5.0,26120,61207,18119,1.08,7115,0.71,0.61,0,39.06,341020,208103
MM_016,Light-Duty,Gasoline,12.3,42464,5.0,14497,51148,20263,1.26,6618,0.45,0.54,0,38.54,360944,216765
MM_034,Heavy-Duty,Diesel,15.0,15000,13.3,9098,59563,8000,2.9,3819,0.84,0.45,0,38.32,127500,123744
MM_011,Light-Duty,Diesel,9.8,15000,12.55,24862,52840,8000,3.36,1628,0.71,0.53,0,38.12,127500,119212
MM_012,Heavy-Duty,Diesel,6.8,29269,13.34,26486,40341,9057,2.73,3570,0.95,0.7,0,36.7,248786,113755
MM_027,Light-Duty,Diesel,8.1,35444,17.24,15817,72028,15013,3.62,6525,0.69,0.75,0,36.67,301274,193113
MM_024,Light-Duty,Gasoline,3.4,75411,5.0,27211,57385,28468,1.11,14379,0.73,0.93,0,36.41,640993,284984
MM_038,Light-Duty,Diesel,7.1,26939,22.42,13378,60131,10072,5.69,5107,0.69,0.75,0,35.76,228981,140636
MM_044,Heavy-Duty,Diesel,6.2,43577,14.46,16787,56809,15590,3.17,5061,0.54,0.79,0,34.56,370404,184263
MM_037,Light-Duty,Diesel,8.8,20151,10.61,22514,63039,9226,2.92,4189,0.82,0.6,0,33.87,171283,137271
MM_050,Light-Duty,Gasoline,10.6,16306,5.0,28819,58087,8000,1.02,1986,0.53,0.57,0,33.52,138601,124101
MM_047,Light-Duty,Diesel,12.2,23467,14.38,5798,65477,10623,2.92,2551,0.72,0.59,0,33.47,199469,153221
MM_049,Medium-Duty,CNG,6.2,49016,5.0,16705,72453,21272,1.1,8364,0.84,0.67,1,31.82,416636,244901
MM_032,Light-Duty,CNG,14.9,21449,5.0,7061,52437,8461,1.06,3855,0.75,0.49,0,30.87,182316,120500
MM_030,Light-Duty,Diesel,5.7,48030,5.0,22654,79298,20973,1.0,6891,0.5,0.78,0,30.66,408255,250677
MM_041,Light-Duty,Diesel,7.5,15000,15.63,16157,66051,8000,4.65,2240,0.48,0.64,0,30.44,127500,131811
MM_006,Light-Duty,Diesel,5.4,15000,16.91,25082,71016,8000,3.83,1730,0.7,0.76,0,30.42,127500,137286
MM_039,Heavy-Duty,Diesel,12.9,77880,105.26,16277,76013,17424,22.8,6812,0.45,0.38,0,29.41,850000,385000
MM_045,Light-Duty,Diesel,5.0,21289,8.67,39151,66733,8000,1.96,4231,0.5,0.88,0,28.72,180956,130502
MM_007,Light-Duty,Diesel,6.5,40737,5.0,14929,41967,17147,1.0,7942,0.36,0.65,0,28.66,346264,179774
MM_013,Heavy-Duty,Diesel,5.6,30516,5.0,30664,42469,13176,1.0,5717,0.82,0.78,0,28.16,259386,148748
MM_003,Medium-Duty,Diesel,3.7,52270,82.02,23712,68011,8000,1.12,2985,0.7,0.62,0,26.4,210519,133026
MM_043,Light-Duty,Diesel,13.7,49410,46.74,22364,56148,8000,1.1,2922,0.23,0.4,0,26.25,161525,121226
MM_004,Medium-Duty,Diesel,7.1,30757,12.01,12034,50269,11367,2.9,5920,0.55,0.81,0,25.27,261434,140968
MM_035,Heavy-Duty,Diesel,1.2,45389,12.77,18224,66453,18055,2.72,4525,1.0,0.98,0,23.37,385806,215395
MM_005,Light-Duty,Diesel,2.2,29726,12.63,23385,63191,9704,2.96,4989,0.56,0.97,0,21.39,252671,140686
MM_021,Medium-Duty,Diesel,6.4,15000,5.0,26567,54177,8000,1.0,2086,0.75,0.78,0,20.91,127500,120091
MM_010,Medium-Duty,Diesel,1.2,32246,12.94,12856,68847,13190,3.37,5852,0.61,1.0,0,15.05,274091,175110
