vehicle_id,vehicle_type,fuel_type,age_years,annual_operating_cost_usd,annual_co2_emissions_mt,annual_utilization_miles,replacement_capex_ev_usd,annual_cost_post_ev_usd,ev_annual_co2_mt,salvage_value_usd,criticality_score,reliability_index,mission_critical_flag,replacement_priority_index,tco_ice_10yr_usd,tco_ev_10yr_usd
CL_001,Light-Truck,Diesel,6.1,46479,5.0,36847,65012,24666,1.09,6388,0.67,0.8,0,42.3,395071,268285
CL_002,Van,Gasoline,6.3,17975,11.27,26455,49053,8000,1.93,3390,0.41,0.79,0,32.78,152787,113663
CL_003,Van,Diesel,6.9,24614,10.48,36383,50852,10665,2.48,5688,0.41,0.69,0,44.02,209219,135816
CL_004,Light-Truck,Diesel,0.8,18503,11.87,31465,53238,8000,3.13,2315,0.87,1.0,0,24.3,157275,118923
CL_005,Light-Truck,Gasoline,7.8,20151,5.0,36512,55235,8000,1.0,3719,0.41,0.69,1,35.98,171283,119516
CL_006,Van,Gasoline,0.8,36488,21.87,33517,80575,14036,5.37,9018,0.85,0.95,0,47.84,310148,190863
CL_007,Heavy-Truck,Gasoline,4.6,15794,8.59,34062,76104,8000,1.87,1487,0.55,0.78,0,31.16,134249,142617
CL_008,Light-Truck,Gasoline,10.9,44046,9.48,41432,59448,19334,1.77,5397,0.87,0.53,0,63.21,374391,218390
CL_009,Van,Diesel,3.4,32038,5.0,36878,64075,13248,1.25,3847,0.57,0.89,0,30.42,272323,172836
CL_010,Van,Diesel,8.1,35825,5.0,36944,42866,15947,1.35,5090,0.42,0.71,0,42.7,304512,173325
CL_011,Van,CNG,10.0,38870,5.0,28183,59848,17770,1.0,5422,0.82,0.61,0,44.05,330395,205471
CL_012,Light-Truck,Diesel,7.3,29790,8.14,22763,63915,11244,1.84,4916,0.65,0.61,0,38.16,253215,154573
CL_013,Van,Gasoline,1.0,47389,5.0,22063,75748,21200,1.0,5164,0.94,0.97,1,23.41,402806,250784
CL_014,Van,Gasoline,4.9,32667,24.07,34758,65921,12547,5.27,3883,0.83,0.83,0,57.93,277669,168687
CL_015,Van,Diesel,13.6,42128,5.0,6053,67194,19458,1.17,6953,0.6,0.42,0,42.36,358088,225634
CL_016,Light-Truck,CNG,0.8,32610,5.0,16235,65573,14903,1.36,5144,0.56,0.97,0,13.46,277185,187104
CL_017,Van,Gasoline,5.2,38490,8.09,19330,65228,16942,2.16,7455,0.65,0.7,0,34.83,327165,201780
CL_018,Van,Diesel,4.1,38355,15.08,25771,45238,15706,4.06,6538,0.69,0.77,0,44.33,326017,172201
CL_019,Van,Diesel,6.7,37999,8.01,5000,56998,14959,1.64,7166,0.47,0.72,0,27.27,322991,176983
CL_020,Van,Gasoline,9.0,23308,15.09,39328,79218,9482,3.21,2164,0.82,0.62,0,55.63,198118,157651
CL_021,Light-Truck,Diesel,12.3,40230,5.0,33401,71886,18443,1.0,5263,0.57,0.53,0,52.6,341955,223388
CL_022,Light-Truck,Diesel,5.2,31172,11.09,45861,67930,12028,2.2,7556,0.57,0.73,0,50.04,264962,162612
CL_023,Light-Truck,Gasoline,9.3,42565,22.04,37559,62800,17983,3.89,7219,0.54,0.61,0,72.63,361802,208436
CL_024,Light-Truck,Diesel,8.1,15000,5.0,37273,69913,8000,1.15,2810,0.7,0.65,0,35.75,127500,135103
CL_025,Light-Truck,Diesel,8.0,17418,13.43,48256,50661,8000,2.67,2850,0.51,0.71,0,52.26,148053,115811
CL_026,Van,Diesel,4.1,39361,12.05,22861,43039,14493,2.25,6741,0.68,0.91,0,34.88,334568,159488
CL_027,Van,Diesel,2.4,57355,5.0,14468,57414,20309,1.05,7941,1.0,0.99,0,24.24,487517,222099
CL_028,Van,Diesel,2.0,45020,6.87,25908,68455,20076,1.27,13506,0.64,0.84,0,32.09,382670,225595
CL_029,Van,Gasoline,3.3,26810,18.05,20575,63293,11542,4.14,3490,0.56,0.87,0,36.36,227885,157910
CL_030,Light-Truck,CNG,7.4,15000,11.58,25688,74167,8000,2.65,2221,0.32,0.65,0,36.9,127500,139946
CL_031,Van,Diesel,9.1,43912,5.0,18548,66217,17779,1.05,2195,0.66,0.63,0,39.06,373252,215143
CL_032,Van,Gasoline,7.4,34033,15.19,33110,62538,18158,3.01,6987,0.43,0.73,0,51.69,289280,209894
CL_033,Van,Diesel,4.1,42088,7.59,32616,77929,17268,1.36,5151,0.57,0.84,0,37.96,357748,219556
CL_034,Van,Diesel,13.1,36383,13.04,27757,75588,14914,3.09,5346,0.68,0.47,1,60.91,309255,197011
CL_035,Van,Gasoline,12.0,35355,13.15,30804,60822,16002,2.98,4369,0.3,0.59,0,57.54,300517,192470
CL_036,Van,Diesel,4.9,70503,5.0,26721,48763,29918,1.17,10086,0.68,0.84,0,44.25,599275,292980
CL_037,Van,Diesel,3.1,34926,15.83,34768,51111,16393,3.34,4742,0.71,0.86,0,45.22,296871,185709
CL_038,Heavy-Truck,Diesel,6.7,33089,5.0,28626,60062,14356,1.07,4892,0.39,0.73,0,34.57,281256,177196
CL_039,Heavy-Truck,Diesel,11.0,33542,5.0,25610,57598,15364,1.32,4942,0.57,0.6,0,41.67,285107,183250
CL_040,Van,Diesel,7.5,27997,5.0,36366,81893,12379,1.01,3983,0.28,0.73,0,37.73,237974,183131
CL_041,Light-Truck,Diesel,8.3,46881,8.45,39347,41838,21202,1.78,6638,0.97,0.65,1,55.39,398488,215417
CL_042,Van,Diesel,5.4,30754,11.41,40037,61228,12851,2.76,6625,0.72,0.7,0,48.04,261409,163836
CL_043,Van,Diesel,7.9,42631,5.68,19087,49205,18379,1.3,8273,0.61,0.62,0,38.7,362363,197153
CL_044,Van,Gasoline,12.1,38415,15.54,23189,63401,15613,2.46,7466,0.62,0.52,0,59.81,326527,188645
CL_045,Heavy-Truck,Diesel,5.3,49627,12.33,12686,66587,22342,2.09,5626,0.88,0.7,0,41.44,421829,250868
CL_046,Van,CNG,6.7,40042,6.18,25852,57141,14122,1.24,8522,0.63,0.72,0,37.8,340357,168656
CL_047,Van,Diesel,7.2,20439,16.48,31745,68365,9326,4.08,4222,0.72,0.69,0,47.74,173731,143414
