vehicle_id,vehicle_type,fuel_type,age_years,annual_operating_cost_usd,annual_co2_emissions_mt,annual_utilization_miles,replacement_capex_ev_usd,annual_cost_post_ev_usd,ev_annual_co2_mt,salvage_value_usd,criticality_score,reliability_index,mission_critical_flag,replacement_priority_index,tco_ice_10yr_usd,tco_ev_10yr_usd
PT_001,Articulated-Bus,Diesel,9.1,87819,17.88,42189,79220,37766,4.09,11259,0.6,0.65,0,59.96,746461,388972
PT_002,Standard-Bus,Diesel,5.2,77984,16.68,40394,70009,30854,3.69,13995,0.89,0.84,0,48.24,662864,318273
PT_003,Standard-Bus,CNG,15.1,40674,16.47,42475,44395,20815,3.94,3994,0.72,0.32,1,59.22,345729,217328
PT_004,Standard-Bus,Gasoline,5.8,55107,7.93,41847,60721,21264,1.29,10178,0.62,0.73,0,40.65,468409,231287
PT_005,Standard-Bus,Gasoline,8.2,32504,5.49,38976,81337,12225,1.13,1874,0.71,0.68,0,34.76,276284,183375
PT_006,Standard-Bus,Diesel,9.5,24841,25.75,55000,47635,9287,5.68,2029,0.64,0.54,0,57.5,211148,124545
PT_007,Standard-Bus,Diesel,10.1,58565,24.43,55000,49976,23425,6.59,7987,0.81,0.5,0,67.0,497802,241101
PT_008,Standard-Bus,Diesel,6.0,40853,5.0,53338,65252,17662,1.0,10597,0.7,0.78,0,39.79,347250,204782
PT_009,Standard-Bus,Diesel,5.8,54766,27.06,5000,40383,25361,5.29,8351,0.43,0.68,0,35.06,465511,247600
PT_010,Articulated-Bus,Diesel,13.4,40456,28.18,34139,57314,16927,5.13,6557,0.63,0.45,0,57.78,343876,194636
PT_011,Articulated-Bus,Diesel,4.3,53291,13.68,27854,78260,22631,2.9,8196,0.44,0.85,0,32.7,452973,262427
PT_012,Standard-Bus,Gasoline,4.9,44710,18.95,33382,55114,20774,3.53,9348,0.84,0.7,0,40.47,380035,222345
PT_013,Standard-Bus,Diesel,7.4,46759,21.99,37393,49565,17693,4.82,4765,1.0,0.7,0,46.76,397451,195190
PT_014,Standard-Bus,Gasoline,8.2,63036,22.13,30001,68570,27639,5.07,7644,0.81,0.62,0,49.97,535806,295857
PT_015,Articulated-Bus,Diesel,8.3,20053,8.7,17032,76617,8000,2.46,3252,0.57,0.62,0,23.98,170450,141365
PT_016,Standard-Bus,CNG,9.2,40359,21.94,44759,79113,15368,4.07,5453,1.0,0.5,0,54.88,343051,204288
PT_017,Minibus,Diesel,12.2,15000,21.92,40839,38565,8000,5.29,3016,0.1,0.51,0,48.24,127500,103549
PT_018,Standard-Bus,Diesel,11.3,59197,16.41,28528,57544,27009,3.09,7604,0.72,0.5,0,49.92,503174,279516
PT_019,Articulated-Bus,Diesel,7.7,15000,33.82,41030,38147,8000,7.67,1844,0.82,0.76,0,46.25,127500,104303
PT_020,Standard-Bus,CNG,6.8,15000,20.86,55000,69328,8000,4.23,2251,0.97,0.71,0,45.8,127500,135077
PT_021,Standard-Bus,CNG,10.1,38410,16.03,42993,66985,16018,3.86,6952,0.6,0.56,0,49.1,326485,196186
PT_022,Articulated-Bus,Diesel,3.7,29994,12.82,46884,56825,11613,2.7,3794,0.49,0.86,0,34.84,254949,151741
PT_023,Standard-Bus,Diesel,9.2,15009,36.91,43732,39443,8000,9.45,3693,0.57,0.6,0,54.46,127576,103750
PT_024,Standard-Bus,Diesel,12.4,62726,14.42,53837,45172,31995,3.02,6957,0.89,0.52,1,62.64,533171,310172
PT_025,Standard-Bus,CNG,12.9,57339,20.93,54610,72362,23914,4.48,7834,0.71,0.43,0,68.13,487381,267797
PT_026,Standard-Bus,Diesel,5.8,29035,21.42,37518,66240,13521,5.54,2152,0.54,0.71,0,40.36,246797,179016
PT_027,Articulated-Bus,Gasoline,3.3,29277,5.0,55000,75186,12686,1.14,7401,0.5,0.87,0,33.38,248854,175616
PT_028,Standard-Bus,Diesel,4.0,61511,5.0,42711,75700,25962,1.4,7686,0.67,0.82,0,37.46,522843,288691
PT_029,Standard-Bus,Diesel,6.9,58322,33.65,49351,76508,23063,5.13,7571,0.51,0.85,0,58.98,495737,264972
PT_030,Standard-Bus,Diesel,11.8,45136,36.66,34577,48272,16271,8.42,6392,0.78,0.44,0,63.47,383656,180183
PT_031,Standard-Bus,Gasoline,7.2,29950,18.72,51366,60997,11387,4.68,4278,0.52,0.67,0,47.88,254575,153508
PT_032,Minibus,Diesel,6.5,19475,10.46,41345,65877,9317,2.13,1586,0.94,0.74,0,32.84,165537,143485
PT_033,Standard-Bus,Gasoline,6.5,49552,5.48,35497,66768,17370,1.21,7230,0.63,0.8,0,33.36,421192,207183
PT_034,Standard-Bus,Gasoline,5.5,50385,26.49,55000,91561,14236,5.94,13523,0.19,0.81,0,55.22,428272,199044
PT_035,Standard-Bus,Gasoline,13.9,40458,11.99,46064,45114,15011,2.54,2683,0.73,0.42,0,54.91,343893,170024
PT_036,Standard-Bus,Diesel,6.8,20433,8.44,35064,74428,9543,1.97,4037,0.81,0.71,0,29.66,173680,151506
PT_037,Articulated-Bus,Diesel,13.1,80973,9.25,31435,74366,40965,1.59,16306,0.95,0.35,0,57.68,688270,406262
PT_038,Standard-Bus,Diesel,6.9,62104,16.85,17844,80643,31570,4.52,11218,0.44,0.7,0,37.51,527884,337770
PT_039,Articulated-Bus,Diesel,9.5,27178,15.76,27656,67137,13622,3.43,7487,0.68,0.66,0,35.45,231013,175437
PT_040,Articulated-Bus,Gasoline,6.8,56750,33.19,40851,58020,24616,6.26,5744,0.5,0.84,0,54.2,482375,261512
PT_041,Minibus,Gasoline,16.5,31074,25.96,42831,40028,11794,5.21,4006,0.65,0.26,1,65.18,264129,136271
PT_042,Minibus,Diesel,16.4,67053,5.0,40435,47603,29588,1.05,12603,0.97,0.3,0,59.58,569950,286498
PT_043,Articulated-Bus,Gasoline,12.6,53459,12.14,30657,46665,24079,2.77,5111,0.4,0.48,0,48.31,454401,246225
PT_044,Standard-Bus,Gasoline,10.4,49534,23.38,34805,53240,20667,6.42,6903,0.85,0.67,0,50.04,421039,222006
PT_045,Standard-Bus,CNG,12.5,72567,25.78,20472,62609,33812,5.62,16490,0.84,0.5,0,56.07,616819,333521
PT_046,Standard-Bus,Diesel,1.0,19754,9.23,47344,54533,8000,2.11,4294,0.61,0.85,0,28.37,167909,118239
PT_047,Standard-Bus,Gasoline,12.7,24592,22.22,16585,65336,10958,4.66,3404,0.59,0.48,0,39.92,209032,155075
PT_048,Minibus,Gasoline,11.7,69387,24.16,32766,52803,30100,5.58,19507,0.27,0.59,1,57.63,589789,289146
PT_049,Articulated-Bus,Diesel,10.3,86994,16.5,21208,48905,34240,3.89,13925,0.61,0.54,0,51.94,739449,326020
PT_050,Standard-Bus,Diesel,9.1,49034,45.76,30784,54640,19222,12.3,11776,0.52,0.62,0,61.84,416789,206251
PT_051,Articulated-Bus,Diesel,13.1,62636,7.17,50100,75969,26912,1.83,5096,0.79,0.53,0,56.59,532406,299625
PT_052,Articulated-Bus,Diesel,8.0,54445,18.57,30767,63260,16684,4.14,10026,0.56,0.73,0,43.12,462782,195048
PT_053,Minibus,Gasoline,1.0,22947,20.27,28608,58264,9684,4.74,3107,0.69,0.95,0,24.22,195049,137471
PT_054,Standard-Bus,Diesel,14.2,56427,25.07,10330,62943,22427,7.74,10548,0.75,0.49,1,47.83,479629,243024
PT_055,Articulated-Bus,Diesel,9.7,36383,20.9,38393,75834,12812,5.3,3944,0.71,0.57,0,48.71,309255,180792
PT_056,Articulated-Bus,Gasoline,6.6,44981,8.57,21536,55091,18557,2.16,3575,0.9,0.63,0,31.21,382338,209250
PT_057,Standard-Bus,Gasoline,8.4,80232,32.39,23946,76876,27386,5.93,12140,0.64,0.61,0,58.16,681972,297517
PT_058,Standard-Bus,Diesel,5.5,52797,28.35,55000,45123,19085,6.83,3813,0.82,0.75,0,58.44,448774,203532
PT_059,Articulated-Bus,Gasoline,9.8,91279,17.92,55000,72930,45000,4.19,19135,0.64,0.61,0,68.78,775871,436295
PT_060,Articulated-Bus,Gasoline,6.1,36161,22.99,55000,65677,14569,5.87,5016,0.74,0.78,0,50.49,307368,184497
PT_061,Minibus,Gasoline,10.9,35919,39.2,44124,71297,15884,7.18,6421,0.97,0.5,0,65.26,305311,199890
PT_062,Standard-Bus,Diesel,12.7,41201,29.33,39747,63051,16780,5.44,9662,0.75,0.47,1,60.48,350208,196019
PT_063,Minibus,Diesel,4.8,15000,17.94,35974,72582,8000,4.15,970,0.56,0.83,0,30.12,127500,139612
PT_064,Articulated-Bus,CNG,10.2,46641,8.0,55000,63698,19766,1.33,9084,0.56,0.6,1,51.46,396448,222625
PT_065,Standard-Bus,Diesel,9.9,54500,5.0,48408,54759,21416,1.3,8262,0.59,0.65,0,46.98,463250,228533
